电影ID,电影名,海报路径,星级,评论
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,2,特別特別好的題材，然而碰到無法具體操控的主創，太遺憾了，法國不是沒人會拍。
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,2,很好的题材，可惜拍的一般，法国撤侨，交给你们法国人确实不行
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,五大流氓之一法兰西在喀布尔被弄的如此狼狈，这都是乔的锅
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,"本剧根据真实故事改编，2021年美国撤军塔利班接管阿富汗期间，有无数的阿富汗贫民想逃离这个国家，甚至是塔利班自己人。
在法国大使馆驻扎长官默罕默德的努力斡旋下，2800人逃出了那个人间地狱。"
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,紧张的气氛烘托的还不够
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,1,恐怖分子之所以被称为恐怖分子，是因为他们能成大事
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,1,法国爱国宣传片，能拍得这么生气全无，我不李姐！主演全员圣母，男圣母女圣母，做作得要死！群演全员道具人，毫无灵魂。不过他们也可能真的没有灵魂，有一瞬间甚至觉得这些人民配得上他们的苦难?????。导演我谢谢你，不要再拍了。
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,看过~
,13个日夜,,4,
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,4,张力满满， fucking artists
36399215,13个日夜,电影海报\36399215_13个日夜.jpg,3,法国人在阿富汗瞎尼玛掺和，法国版万里归途。
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,5,"阿克曼的碎碎念?? 【spoiler】gaydar疑似捕捉最隐晦的信号.. 我觉得这部刻画了女性通讯录最真实的、与取向无关的某种“难题”之一——?it’s a man’s man’s world?

Happy June????"
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,影片结束字幕开始滚动，旁边的女孩小声地对她男友说：“你看懂了吗？她喜欢她的朋友。”
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,5,2020年代，上海，一个工作日的下午，一男一女在上海影城看电影认识了，他们整个下午在淮海中路上压马路，喝咖啡，逛唱片店。女的谈论萨特，原生家庭，学校，性取向。她说跟你接吻是为了让她痛苦。男的说那你让我睡一下。她说不想上班，不想过上一成不变的生活。男的说那你跟我睡一下。她说自己外e内i，看着很外向，其实一点都不快乐。男的说那你让我睡一下。她说，咱们去ins蹦迪吧。男的说要么直接去开房吧。最后他们还是睡了。但是女孩还是不快乐。
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,5,一个逃兵，一个逃学，无法忍受各自环境里的循规蹈矩，想要做自己，因而逃，逃到电影院里，逃到大街上，等待着什么的发生。看到大街上的下班人流，每个人都是同样的表情，晚上吃猪排，土豆和花椰菜；一旁喝啤酒不上班的闲人，可能连花椰菜也吃不上。是和时代洪流一同沉浮，还是站在一旁冷眼旁观，等待，踟蹰。似乎无论逃到何处，做什么样的选择，都会受到诸多限制，一种挥之不去又难以言喻的痛苦便由此而生了。
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,救大命我又没看出来性取向问题……喜欢散步谈话，喜欢谈话的内容，喜欢坐在一起吃意大利面的场景，喜欢跑步的样子，喜欢派对跳舞的时刻。这次观影有嘉宾讲解，ppt放的给我一种小组汇报的感觉，害怕，听了半个小时后跑了。
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,一小時太短，這麼有趣的城市漫遊日誌根本看不夠??
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,车站人潮中摄影机自远处靠近，我们拥吻。
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,少年少女版的“爱在黎明破晓前”，大段大段的聊天，场景切换对话连续。时间设定在68年4月，半自传性质小故事，限于预算可能没太注重年代感的布景。
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,"仿佛是《安娜的旅程》变体，或《来自东方》的另一种延伸，放弃手提箱/书包后的街头漫游（扔掉外套和书包成为一道界限），结尾从城市来到田野，从天际线深处走到镜头前，一天一夜的惶惑终于落地，她要作出抉择了——于是一个出画，一个返身走向远处，隐秘的情愫在一日三见中隐现，告别总是无声的。
一切都如同是68前夕无声躁动的映射，一切都事出有因——逃家、逃学、派对、sex、摇滚，全世界的青年都在浪潮的前端试探着融入的可能，彼时越战正酣，新浪潮的镜头引领着电影的方向，青年呼吸到的空气都是革命的味道，而他们身后的父母辈依然要扶墙侧身走过街道，历史的幽灵始终在场。"
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,女演员的眉眼真好看啊。以前全世界的年轻人约会都大差不差，和女友男友一群人在小酒馆抽烟喝酒（在苍蝇馆子烧烤摊抽烟吃烧烤），压马路，走来走去，唱片店（卡带碟片店），书店。她们二人走在草地上，旁边的树木。女主的条纹衫和西装外套（现在仍然是流行）。黄色电车，看到感情线仍然跑神了
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,"新浪潮的男女，边走边聊天，走在大街上，走在人群里，走进唱片屋，走进小书店，走进古建筑巨大阴影里，他们抽烟、吃面、偎依跳舞，他们争辩、亲吻、上床做爱。他们的爱在日落黄昏时的绿光里。
新浪潮的姐妹，面对面聊天，她们争辩、分手、再见，她们亲吻、抽烟、跳舞，她们不做爱，她们的爱在黎明破晓前的蓝色时光里"
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,5,好喜欢好喜欢好喜欢，是那种让人想起电影本质的电影，谢谢你阿克曼
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,"看这个电影第一反应是心惊，然后很心虚，卧槽，怎么拍出这么冷静又伤人的东西的。虽然里面也有一些做作的成分。
然后映后说到女主是同性恋的时候好多人惊讶，更绝望了，好吧
其实我觉得那个巴黎来的逃兵也可以是女主想象出来的。于是举手提问，但可惜迟疑了几秒（这种不敢为天下先的可耻习惯到底怎么改改？？）就没问上。因为最后一幕，那个场景一下子非常亦真亦幻。逃兵为什么会找到她们，出现在这个场景里？完全没有铺垫，以至于让人质疑可操作性。
事实也可以是，女主看到，暗恋的女友终于找到了“那个男人”（可以是派对上那个金发男孩，随便谁，总之意思就是她的女友终于恋爱了），于是她可以“像以前一样生活”了，不用再进行这种无用且有害的想象了。前面逃兵也说过：“但是如果你并没有在电影院和谁接吻，你也可以和那个你想伤害的人这么说”"
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,5,阿克曼轻轻把洪尚秀秒了
20284710,1960年代末一个布鲁塞尔少女的肖像,电影海报\20284710_1960年代末一个布鲁塞尔少女的肖像.jpg,4,非常阿克曼式的运镜和游荡，有安娜的旅程、我你他她的痕迹，少女漫无目的的行进与五月风暴的背景相互映衬，生活总是充斥着迷茫
37284269,3670,电影海报\37284269_3670.jpg,5,今年看过的最好的酷儿电影，完全酷儿本位的视角很难不在这个真挚的故事里折射出相似的生命体验，眼眶泛涌的泪好似一同被吞噬在首尔孤独的寒夜。融入，这样仿佛始终刻在酷儿生命轨迹线的无可奈何，被导演捕捉得格外精准，不止是男主的酷儿身份，也在于其脱北者身份下的撕扯与挣扎，在个体和政治的复合语境下都极具细腻的洞察与人物关怀。孤独，这样一种群体性的生命底色，在抱团啜饮中才能拾掇几分温暖的寒冷暗夜里已然清晰彰显
37284269,3670,电影海报\37284269_3670.jpg,3,前一个小时很好，后一个小时不太行，拍的还是典型的大城市同性恋日常。有没有导演能拍一个不喝酒，不蹦迪，不逛公园的同性恋日常？
37284269,3670,电影海报\37284269_3670.jpg,4,北朝主人公为了自由冒死逃亡韩国，南韩小胖哥却要移民加拿大。他说，你不知道什么是gay，却在无意间和人（同性）有了性；我生活在自由的大韩民国，但是找不到可以做爱的对象。有人说，这是一个现实题材的剧本。所谓现实，大概就是让观众看到了这样一群爱上同性的人，他们热衷于和同性聚会，可是不但找不到可以厮守的对象，甚至无法和喜欢的人讲真心话。所以这是一群失去了爱的能力的人。理解了这一点，也许你就可以理解某种言不由衷的忧伤。
37284269,3670,电影海报\37284269_3670.jpg,1,好难看好尴尬，导演是铁直吧？……
37284269,3670,电影海报\37284269_3670.jpg,4,男主角总给我一种老实人豁出去了的感觉。
37284269,3670,电影海报\37284269_3670.jpg,5,天啦噜，超细腻，切入角度也很好，近年来同影最佳！另外救命，韩国也是熊比猴更受欢迎啊？！
37284269,3670,电影海报\37284269_3670.jpg,5,东亚同性恋的底色是孤独，导演拍出来了。
37284269,3670,电影海报\37284269_3670.jpg,3,"不去夜店，不加入“族群”，不喝酒买醉，还可以做gay吗？可以，但是会很孤独。
那如果去夜店，聚居性活动，喝酒买醉会开心吗？好像会，但狂欢后有些迷失，会更孤独。"
37284269,3670,电影海报\37284269_3670.jpg,4,#36HKLGFF# 好喜欢，如果说《大都市爱情法》展现了当下韩国青年同志群体的某种生存状态的话，那么本片显然在此基础上嵌套了另一层更具伤感无奈的基调。在相对压抑低调的东亚社会氛围下，白天“做直男”和晚上在梨泰院艳舞，这样一种稍显矛盾的状态在一个脱北青年的身上得到了更极致的集中展现，他所背负的身份困境使得整个人物的心境更加真实可感且更富戏剧性。导演不仅深谙同志社群氛围，更刻画出了每个人作为独立个体那种与生俱来且挥之不去的孤独感，这与身份国别都无关，我始终觉得能写好人的“孤独”这种状态的创作者都是对生活有细致洞察的。看到最后，你也分不清这是友情还是爱情，只是跟着主角默默湿了眼眶。我们无法在阳光下的街头牵手，只能在逼仄昏暗的KTV包厢里把彼此抱紧。（看到了之前去过的酒吧，怀念！）
37284269,3670,电影海报\37284269_3670.jpg,3,看完只是想对导演说，你别那么不自信到在后半段设置那么多低级的drama桥段来试图留住观众，你已经如此精准地捕捉到全部了：所有的情绪状态、以及所有的或留恋缠绵或失望扫兴的夜晚。并且既然没有太多的政治企图与野心，脱北者这样的边缘人物设定完全有其他更好的替代方案
37284269,3670,电影海报\37284269_3670.jpg,3,整體有點淡淡的，結尾的離開有點不上不下，有點可惜。ps男主身材真的很好，哪來的時間鍛鍊？？
37284269,3670,电影海报\37284269_3670.jpg,4,套路多，但反套路也多，其实剧本是一个双重互文的故事，表层是一个双向选择的情感故事，纸条内容的改变让两人的关系完成了一次情感传递的互文，更深层的展现地是当代社会的文化冲突，最后的离开则完成了一次身份传递的互文，让文本本身想要表达当代社会所具备的政治文化的复杂性要更深刻，那种孤独好像传递出去了，所有人都没有分别。
37284269,3670,电影海报\37284269_3670.jpg,5,"我觉得自己即是哲俊，也是英俊......韩国在这两年先后捧出大都市爱情法和3670两尊大佛，好有厚度好隽永。

“脱北”的主题用得很好，能够看到哲俊背负着脱北者和酷儿双重身份的成长与变化。特别喜欢电影最后哲俊在聚会上唱歌的这一段，尤其是台下的人一起跟着唱“就像一直在绕圈的旋转木马”时，由衷地感到开心，是一个简单美好的结尾。
最喜欢的几个片段：哲俊回到舞池找英俊跳舞；哲俊和同是脱北者朋友见面；分别前哲俊和英俊的最后一面；哲俊出柜，学民的那几句话；哲俊唱着旋转木马。"
37284269,3670,电影海报\37284269_3670.jpg,3,拍到了一些真实的暧昧和孤独，对脱北者处境的刻画，甚至会让人想到阿基的电影（《希望的另一面》），后面还是编得露馅了，男主和基友的关系拧巴到费解。分别段落虽然感人，但仍像是在借编剧之口输出观察和结论，台词也写得直白。猜到了男主最后会亮嗓，没想到全是感情毫无技巧，和《春晚》里秦昊的《迷迭香》有一拼。
37284269,3670,电影海报\37284269_3670.jpg,4,又一种“寻”。脱北者身份的切入，给这普世行为披挂上更多层次，北部集体意识里无从确知更难以确立的异质思想，难以接触同道中人的高度落寞与压抑，南部都市化时髦开放所遮蔽的走马观花、点到即止，人在排位攀比中各有各的迷失。直白点，无非是朝鲜的见不到，韩国的纯猎奇。在掺杂人为时差的恋爱步调里，更透彻的是英俊对哲俊说的，新人对带入圈的那个人，有近似母亲的认知。泽贤说的，多少人说要做一辈子朋友，突然一天就消失不见。都是我们升小学、升中学、升大学、入社会所学到的人际道理，奈何越来越熟练，就不记得淡忘与痊愈所需时间越来越少，到头来，一切不过换一张桌，学一首歌，就如脱北，总该要抵达你我口中所谓的幸福吧。四星半。
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,也没必要把经典重新拍一遍吧？这相似度接近100%了
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,烂倒也不算很烂，还旧瓶装新酒，但问题在于这部有意更多放在女主视角上，却没有给女主那种很彰显性格和挣扎的表现，就有些普了。
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,5,服化道演技很棒。
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,0,开头虐女主那段，看着好疼啊。真的很恶心这种故意戏耍和用别人伤病来欺辱对方的情节。年纪越大越忍不了这种电影桥段，因为太带入了????。
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,4,舞台设计太漂亮了 俯瞰男舞者们围绕出恶魔的八芒星 女主神一般的演技+结尾响起的老版旋律+罗斯玛丽的后脑勺 简直讽刺悲惨到极致 女人这被嘲笑、玩弄、剥削和践踏的一生 赴死时还要取悦骗过众人。渴望聚光灯的你 一直属于黑暗。
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,4,超出预期的前传！在创意和翻拍之间找到了相对稳妥的位置，仿造出似曾相识的余韵，虽然没有什么新的东西，但也不失为一种文艺复兴。结尾旋律响起时真的打了个冷颤
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,4,超出预期的翻拍，今年关注的恐影恰好都含撒旦崇拜和生育恐怖的元素，可惜这部是前传，也限制了女主反抗的剧情发展。舞台设计蛮有意思，人形八角星印象深刻。很喜欢结尾处和正传的呼应的设计
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,4,如果片尾不加跳楼那一段，可以给满分！邪恶的结局未必就不精彩！
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,"Julia真的演什么都是一股子Ruth味，很严重的daddy issue girl，其实看secretary的时候就感觉她很适合那种怯生生的小白兔披狼皮的味，整个人都散发出一股子外强中干的气息。如果故事本身能如同soho惊魂夜一般完整就好了，其实舞美和戏剧感还有设计都很不错，所以娱乐性其实是够的。
不知道这种恐怖片到底差了什么但是观众好像一直都比较苛刻。"
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,氛围尚可，但作为魔鬼圣婴的前传，本片的水平可就不够看了。原作尤其让人无法忘怀的是女主令人心碎的无辜和脆弱感，以及身边萦绕的无处不在的紧张感和恐惧感，本片在这方面就差多了，选角欠缺魅力暂且不提，人设也是失败的，从一开头就给女主打上了为了成名不惜放弃一切、缺乏警惕性、占小便宜之类的标签，严重影响观众情绪走向，不会被女主的遭遇所打动也是很正常的事情了
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,It's a sad story. 把故事换成现实来看，就是一个刚出社会的女孩，在找工作的过程中，被老板下药迷奸了。后面得知自己怀孕后，想要找老板寻求解决方式， 老板要她生下来，但是她不愿意，于是她选择逃跑，选择反抗，想要做人流手术，但通通都被阻止了，于是老板就开始监禁她囚禁她。后面女孩因为生活太压抑难以忍受，绝望的她最后选择轻生的方式来寻求解脱，最后的最后所有事情都不了了之，而那个老板却已经物色好了下一个女孩。
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,跟前作不能相提并论
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,2,仁慈的主不可能救你，因为唯一救你的方法是堕胎
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,有点悲伤
35412144,7A公寓,电影海报\35412144_7A公寓.jpg,3,类《无瑕修女》《凶兆前传》。只不过另外两部剧情上更有趣一些。
36208089,7天,电影海报\36208089_7天.jpg,4,"意外地很喜欢，但也必须承认它很挑观众，无关技术门槛，只是因为现代人类不再相信爱情，于是爱情片也注定落寞。
《七天》用一个带点话剧气质的本子，让男女主角在奇幻设定里开了上帝视角，再面对“注定只能存活七天”的关系犯了难。如果你本来就不相信爱情存在，自然也无法消化他们每次相遇和离别，但如果你仍然相信，就会感受到《七天》的可贵。
P.S.同样是奇幻设定的都市爱情，这部完成度和整体质量比去年暑期档那俩好太太太多了。"
36208089,7天,电影海报\36208089_7天.jpg,3,以为是超甜恋爱，没想到硬拍成两小时超长广告片风格，好几次我都以为男女主要对镜头开念广告台词。独白太多且没必要，匀点给对手戏吧。
36208089,7天,电影海报\36208089_7天.jpg,2,有一颗星是给主演的。尽管绞尽脑汁把一切渲染得清新脱俗其实骨子里就是俗…感觉完全不知道要拍什么，多亏期待了这么久我真的气笑了
36208089,7天,电影海报\36208089_7天.jpg,2,过于刻意和设计的桥段与台词，好多地方尴尬得不行，结尾大字报出来太土了……用唯美的画面堆砌出来的作品，难为演员了。
36208089,7天,电影海报\36208089_7天.jpg,1,"之前只看过国产青春爱情片之类，头一次看国产文艺爱情片，侮辱文艺又侮辱爱情。
开局五分钟就想走人，但来都来了。爱情线不好好讲，东拉西扯的情节就水了一半时长，正经主线就一个短片的量，男主竭尽全力逗观众笑，比女主还会哭，对白尬的要死，看到后面心想千万别车祸，不过不靠这个怎么推进剧情，怎么制造感动呢？终于熬到最后，两个人激情相拥，响起“如果全世界我都可以放弃，至少还有你值得我去珍惜”，给我整笑了，迫不及待的离场。
对于爱情，你是选择相信命运还是打破命运？命运让我们相遇可以是泡妞的话术，命运让我们分开可以是不爱的借口，爱或不爱都不需要理由，白头到老和形同陌路并非命运的安排，而是两个人自己选择的结果，爱就能在一起，不爱就分开，道理很简单，但行动起来很难。"
36208089,7天,电影海报\36208089_7天.jpg,3,看见头上数字这个设定，编剧和导演可能觉得很不错，在我看来很无趣。两个相爱的人被这个耗了几十年，不应该，直接冲破这个设定就完事了。电影情节舒缓，很文艺，演员表演也好，女主角是那种素净的漂亮。结局圆满，不错。豆瓣暂无评分，第2391人短评。上影节期间知道这个电影，没看，七夕19.9元，幸福蓝海观看
36208089,7天,电影海报\36208089_7天.jpg,3,因为蒋奇明多加一星，去了映后，导演还没他理解得透彻也是够了??（以及是真的想教会我怎么正确刷牙，谢谢。
36208089,7天,电影海报\36208089_7天.jpg,3,拍这么长搞个he还不如拍他们连做七天。
36208089,7天,电影海报\36208089_7天.jpg,3,属于感觉很对但是不能细想。
36208089,7天,电影海报\36208089_7天.jpg,4,整部电影打磨得很精致，色调舒服，讲感情的方式新鲜细腻。最戳我的是男女主体育馆内深夜对话的熨帖，因为心灵的靠近，无聊行为也因共享变得神圣…导演太擅长去捕捉最汹涌又最私密的情感暗涌了。
,7天,,5,
36208089,7天,电影海报\36208089_7天.jpg,4,男生看时间是7天，女生看是一辈子，这个奇幻设定的背后是否代表着剧作对于现代爱情的看法是——男生的爱就是要比女生的爱流逝的更快（？）      看似陈丑时主要视角的背后，其实更多反映的温倩对于这段关系的主导，七年一见面，包括最后一天的离开，都是女主的主导，她希望爱情关系可以更久而采取的措施；反观男主，在开头便提到了他以前也能看到别人的数字，他只是享受时间内的恋爱，并未考虑到以后，很好的一点是，一个纯享乐主义陈丑时被温倩影响或者说调教，让他意识到了爱不只是享受当下，还有爱离开了新鲜感还剩下的东西，最终成了he的结局，现实中男主这种多数只会走向渣男的结局吧……
36208089,7天,电影海报\36208089_7天.jpg,2,一分给蒋齐明 一分给穿搭
36208089,7天,电影海报\36208089_7天.jpg,2,【3】尬晕，被尬到忍无可忍。一星是电影本色，一星给看完的自己。作精程度好比去年《负负得正》杀马特大战非主流。真佩服国内这些创作者都不知道哪里搜集出来这些肉麻，恶心，所谓哲学的台词，以及表现形式的东西，自我沉醉，自我高潮，上演一段自以为文艺艺术拉满的恋爱。殊不知道表现出来的东西只有漂浮感。就像泡沫一样，一戳就破。把7天恋爱当成一辈子，然后我们不得不佩服命运，然后对抗命运。天啊，好可怕的恋爱大过天，你们赢了。
36208089,7天,电影海报\36208089_7天.jpg,1,调屁的理想不错，可以开创区别于香氛的屁氛，定价30ml698卖给上海人。
37178027,8号出口,电影海报\37178027_8号出口.jpg,3,给邻座法国人看得急死了一归零就叹气putain
37178027,8号出口,电影海报\37178027_8号出口.jpg,2,不懂为什么要硬凹一些恐怖。唯一一个逗笑我的小点是男主手机相册里一闪而过的那张（打工人手机里总莫名其妙存在的）闹钟截图。
37178027,8号出口,电影海报\37178027_8号出口.jpg,2,#Cannes 电影宫的8号出口在哪？我真的没时间陪你闹了
37178027,8号出口,电影海报\37178027_8号出口.jpg,3,极其标准娴熟的类型行货，一道又一道的闯关机制好像已经谈好了与短视频的合作，接下来一年都将成为五分钟看电影博主的狂欢。
37178027,8号出口,电影海报\37178027_8号出口.jpg,3,没有牛鬼蛇神，但简单的“异常”就足以让氛围非常诡异，POV和长镜头也非常有代入感，可惜的是，主角看到异常就是不回头，看样子他也不怎么想出去。
37178027,8号出口,电影海报\37178027_8号出口.jpg,3,竟然是一部“劝你生育”的催生恐怖片，只要你不愿意生孩子，就永远找不到“8号出口”，走不出地下迷宫，你的人生永远在原地兜兜转转。为了让育龄男青年女青年有回家生孩子的勇气和决心，总菊需要多多引进个类型的电影。
,8号出口,,1,
,8号出口,,4,
37178027,8号出口,电影海报\37178027_8号出口.jpg,1,劝生片啊....分数搞不了一点
37178027,8号出口,电影海报\37178027_8号出口.jpg,3,6/10。一部怪诞极致的心理迷宫片，聪明地避开了游戏设定的机械性，处理得更具人文深度。开篇无名男主在地铁中通勤，被周围低头看手机的乘客包围，一个暴躁的男子，对着一个抱着哭闹婴儿的母亲暴跳如雷，男主无视了这一幕，下车接了前女友的电话，被告知即将做父亲的消息。这段采用了长镜头第一人称视角，而他眼前这条炼狱般的无尽长廊，只有一个机械般反复穿梭而过的中年男，他继续走，有时留心异常后会原路返回。剪辑将他的前行变成了一气呵成的长镜头，光洁明亮的瓷砖被不断环绕拍摄，营造出空间的错乱感，但剧情没有给出合理的解释，只是暗示角色的处境，是现实某种人生困境的反映。后半激烈反转，揭示出走廊的行走者都是一群被困的陌生人后，夹杂着海啸浊流、黑暗中变异鼠的场景，似乎隐喻了日本大地震的社会创伤，但它的表达不明确、甚至突兀。
